ID,都道府県コード,都道府県名,地方,年齢5歳階級,年齢,年齢（数値）,元号,和暦（年）,西暦（年）,人口（総数）,人口（男）,人口（女）
100001,1,北海道,北海道・東北,総数,総数,0,大正,9,1920,2359183,1244322,1114861
100002,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,大正,9,1920,376676,190044,186632
100003,1,北海道,北海道・東北,5〜9歳,6~15歳,6,大正,9,1920,319370,161814,157556
100004,1,北海道,北海道・東北,10〜14歳,6~15歳,6,大正,9,1920,270012,138018,131994
100005,1,北海道,北海道・東北,15〜19歳,15~20歳,15,大正,9,1920,239092,125670,113422
100006,1,北海道,北海道・東北,20〜24歳,20代,20,大正,9,1920,208337,109351,98986
100007,1,北海道,北海道・東北,25〜29歳,20代,20,大正,9,1920,175257,96638,78619
100008,1,北海道,北海道・東北,30〜34歳,30代,30,大正,9,1920,157450,86287,71163
100009,1,北海道,北海道・東北,35〜39歳,30代,30,大正,9,1920,143281,78926,64355
100010,1,北海道,北海道・東北,40〜44歳,40代,40,大正,9,1920,127242,70818,56424
100011,1,北海道,北海道・東北,45〜49歳,40代,40,大正,9,1920,97859,55004,42855
100012,1,北海道,北海道・東北,50〜54歳,50代,50,大正,9,1920,76617,43412,33205
100013,1,北海道,北海道・東北,55〜59歳,50代,50,大正,9,1920,53524,29659,23865
100014,1,北海道,北海道・東北,60〜64歳,60代,60,大正,9,1920,44115,23975,20140
100015,1,北海道,北海道・東北,65〜69歳,60代,60,大正,9,1920,33402,17456,15946
100016,1,北海道,北海道・東北,70〜74歳,70代,70,大正,9,1920,21433,10466,10967
100017,1,北海道,北海道・東北,75〜79歳,70代,70,大正,9,1920,10484,4766,5718
100018,1,北海道,北海道・東北,80歳以上,80歳以上,80,大正,9,1920,5032,2018,3014
100019,1,北海道,北海道・東北,総数,総数,0,大正,14,1925,2498679,1305473,1193206
100020,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,大正,14,1925,405607,204576,201031
100021,1,北海道,北海道・東北,5〜9歳,6~15歳,6,大正,14,1925,336438,170315,166123
100022,1,北海道,北海道・東北,10〜14歳,6~15歳,6,大正,14,1925,300821,153388,147433
100023,1,北海道,北海道・東北,15〜19歳,15~20歳,15,大正,14,1925,252275,131986,120289
100024,1,北海道,北海道・東北,20〜24歳,20代,20,大正,14,1925,215391,112790,102601
100025,1,北海道,北海道・東北,25〜29歳,20代,20,大正,14,1925,186159,99237,86922
100026,1,北海道,北海道・東北,30〜34歳,30代,30,大正,14,1925,152114,83238,68876
100027,1,北海道,北海道・東北,35〜39歳,30代,30,大正,14,1925,139774,76040,63734
100028,1,北海道,北海道・東北,40〜44歳,40代,40,大正,14,1925,126620,68948,57672
100029,1,北海道,北海道・東北,45〜49歳,40代,40,大正,14,1925,112769,61572,51197
100030,1,北海道,北海道・東北,50〜54歳,50代,50,大正,14,1925,85288,46801,38487
100031,1,北海道,北海道・東北,55〜59歳,50代,50,大正,14,1925,64998,35637,29361
100032,1,北海道,北海道・東北,60〜64歳,60代,60,大正,14,1925,43812,23516,20296
100033,1,北海道,北海道・東北,65〜69歳,60代,60,大正,14,1925,33679,17441,16238
100034,1,北海道,北海道・東北,70〜74歳,70代,70,大正,14,1925,23395,11550,11845
100035,1,北海道,北海道・東北,75〜79歳,70代,70,大正,14,1925,12971,5829,7142
100036,1,北海道,北海道・東北,80〜84歳,80歳以上,80,大正,14,1925,5054,2084,2970
100037,1,北海道,北海道・東北,85歳以上,80歳以上,80,大正,14,1925,1514,525,989
